shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_2_0_0,38.637098,-9.151020,0,0
shp_2_0_0,38.637324,-9.151333,1,36.953175732415140
shp_2_0_0,38.637351,-9.151369,2,41.269223946618986
shp_2_0_0,38.637368,-9.151393,3,44.096160280827640
shp_2_0_0,38.637396,-9.151416,4,47.819011655169795
shp_2_0_0,38.637422,-9.151430,5,50.914618007623581
shp_2_0_0,38.637444,-9.151440,6,53.619303234896705
shp_2_0_0,38.637463,-9.151447,7,55.754789764104189
shp_2_0_0,38.637484,-9.151451,8,58.089544972375379
shp_2_0_0,38.637504,-9.151453,9,60.395440161212548
shp_2_0_0,38.637535,-9.151453,10,63.753546447149887
shp_2_0_0,38.637586,-9.151445,11,69.507953262073187
shp_2_0_0,38.637645,-9.151431,12,76.241246324821347
shp_2_0_0,38.637742,-9.151404,13,87.219588220788125
shp_2_0_0,38.638022,-9.151327,14,119.026310537934535
shp_2_0_0,38.638053,-9.151319,15,122.587978906244928
shp_2_0_0,38.638070,-9.151322,16,124.467670632490254
shp_2_0_0,38.638153,-9.151322,17,133.730187957741236
shp_2_0_0,38.638201,-9.151334,18,139.170086902567363
shp_2_0_0,38.638223,-9.151343,19,141.767381769667423
shp_2_0_0,38.638245,-9.151356,20,144.434000725696762
shp_2_0_0,38.638270,-9.151372,21,147.555706909820145
shp_2_0_0,38.638301,-9.151405,22,152.029229694012230
shp_2_0_0,38.638459,-9.151582,23,175.350443994321125
shp_2_0_0,38.638510,-9.151639,24,182.881377050165554
shp_2_0_0,38.638579,-9.151693,25,191.945921490157872
shp_2_0_0,38.638662,-9.151742,26,202.058685989185051
shp_2_0_0,38.639127,-9.151904,27,255.641777820234637
shp_2_0_0,38.639210,-9.151935,28,265.245912644495320
shp_2_0_0,38.639269,-9.151950,29,271.910343502592980
shp_2_0_0,38.639320,-9.151955,30,277.609693758828598
shp_2_0_0,38.639405,-9.151955,31,287.061311437478196
shp_2_0_0,38.639492,-9.151939,32,296.818666181762637
shp_2_0_0,38.639558,-9.151919,33,304.416457979140887
shp_2_0_0,38.639650,-9.151862,34,315.741275691697524
shp_2_0_0,38.639700,-9.151821,35,322.390507094087752
shp_2_0_0,38.639740,-9.151789,36,327.578807443485687
shp_2_0_0,38.639759,-9.151772,37,330.173973655093619
shp_2_0_0,38.639783,-9.151751,38,333.415501666439809
shp_2_0_0,38.640495,-9.150820,39,446.577497428748757
shp_2_0_0,38.640562,-9.150761,40,455.559210715361871
shp_2_0_0,38.640638,-9.150733,41,464.436413366754948
shp_2_0_0,38.640712,-9.150713,42,472.850035074550590
shp_2_0_0,38.640774,-9.150707,43,479.772970671858616
shp_2_0_0,38.640824,-9.150710,44,485.293930476512685
shp_2_0_0,38.640874,-9.150722,45,490.922335431465228
shp_2_0_0,38.640933,-9.150747,46,497.851691710312025
shp_2_0_0,38.641012,-9.150788,47,507.292461601459820
shp_2_0_0,38.641288,-9.150970,48,541.888935340486910
shp_2_0_0,38.642236,-9.151593,49,660.383542991156105
shp_2_0_0,38.642502,-9.151768,50,693.574600062642730
shp_2_0_0,38.642728,-9.151917,51,721.882427808003285
shp_2_0_0,38.642866,-9.152003,52,738.970938167999520
shp_2_0_0,38.643144,-9.152180,53,773.441487557064534
shp_2_0_0,38.643316,-9.152267,54,794.000719003383438
shp_2_0_0,38.643557,-9.152368,55,822.221653306669509
shp_2_0_0,38.643727,-9.152424,56,841.746953360654857
shp_2_0_0,38.643866,-9.152461,57,857.571507712422545
shp_2_0_0,38.646880,-9.153158,58,1198.117294610695581
shp_2_0_0,38.646997,-9.153182,59,1211.214829567321885
shp_2_0_0,38.647108,-9.153198,60,1223.711872164968327
shp_2_0_0,38.647238,-9.153210,61,1238.128385355373894
shp_2_0_0,38.647339,-9.153214,62,1249.441719719547336
shp_2_0_0,38.647447,-9.153219,63,1261.470650325165252
shp_2_0_0,38.647563,-9.153217,64,1274.360152182327738
shp_2_0_0,38.647692,-9.153209,65,1288.645115760003137
shp_2_0_0,38.647888,-9.153184,66,1310.561817098304573
shp_2_0_0,38.648249,-9.153140,67,1350.884650477146579
shp_2_0_0,38.648526,-9.153108,68,1381.844859139182518
shp_2_0_0,38.648847,-9.153071,69,1417.685891828024523
shp_2_0_0,38.648984,-9.153058,70,1432.969941221284898
shp_2_0_0,38.649230,-9.153040,71,1460.403867109599332
shp_2_0_0,38.649451,-9.153031,72,1484.911330518727937
shp_2_0_0,38.649673,-9.153030,73,1509.563461667452657
shp_2_0_0,38.649826,-9.153033,74,1526.666684006899459
shp_2_0_0,38.649917,-9.153038,75,1536.795190839801080
shp_2_0_0,38.650039,-9.153045,76,1550.384951321716699
shp_2_0_0,38.650256,-9.153071,77,1574.539721256209987
shp_2_0_0,38.650413,-9.153092,78,1592.166008187278294
